id,zhutiyonghu,dianzhanshuliang,pinglunshu,pinglunneirong,pinglunshijian,jijiqingxufenshu
11,刘11,90,87,10点半点的餐，12点还没下单，这速度也是醉了。味道还可以，德国香肠没有太好吃，焗土豆和柠檬鸡还是推荐的。,2021/5/8 16:12,0.59929
12,刘12,91,88,两个人吃没点太多，要了一份手抓饼当主食，没仔细看菜单，以为手抓饼是咸口的了??结果太甜了，油还有点大。当时特别想吃炸鲜奶那类的甜食，就要了一份椰香南瓜什么的，菜一上来好大的面包片，里面夹了一点南瓜，外面还挤了一些酱，这个酱有点酸不好吃，一人吃了一块就没动。老醋杂拌一般，有点浆浆糊糊的。还要了一份铁板茄夹，茄子太薄了，其实是想吃茄子，倒吃了一口肉馅,2021/5/8 16:12,0.73794
13,刘13,92,89,很一般??????地点好真的很重要????????不是很推荐,2021/5/8 16:12,0.78348
14,刘14,93,90,我们两个人去的，等个100多个号吧，还行因为不着急，就特地为了去拔草，点了一直烤鸭，味道不错，就是上的特别慢，上了以后吃了两口就饱了，还点了奶酪鱼，名不虚传非常好吃，还点了松茸木耳？好像是这个名字，松茸炒鸡少，味道一般，不推荐，还点了招牌梨汤，不错，很好喝，点了奶酪虾球，味道还行，可是为什么给我们桌上的比我们隔壁桌的量要少很多呢？！吃的时候没发现，等隔壁桌上的时候才发现的，然后在看其它桌的分量都比我们多，这还看人下菜碟么？总之，不会去了,2021/5/8 16:12,0.16557
15,刘15,94,91,哎，冲着推荐来的，后悔死了，上菜巨慢不说，服务态度还超级差，东西咸的要死，而且普遍的贵，谁来谁犯二，这辈子不会再来了。,2021/5/8 16:12,0.36832
16,刘16,95,92,超级差评????上菜慢??服务态度超级差、先把汤上来喝饱了??完事菜就上了一个，找服务员催半天也上不来最后结账态度超级差一个个子不高在门口附近桌子的服务员,2021/5/8 16:12,0.04439
17,刘17,96,93,很好吃，中餐有西餐味。用餐人很多，我们排队了15分钟呢，爆,2021/5/8 16:12,0.0235
18,刘18,97,15,平日晚餐去的时间不算晚人也依旧那么火爆??等了一个小时??安排了一张超小的桌子??只适合下午茶用??很无语??点了奶酪罐子依旧很喜欢??芝士布朗尼好吃??彩虹沙拉料足好喜欢??意面也不错??喜欢奶油口味??还点到了限量的卤肉饭??很好吃??总体来说还不错吧,2021/5/8 16:12,0.35967
19,刘19,98,16,好吃好吃好吃，就是人不少！烤肉速度人多时候稍有些慢！,2021/5/8 16:12,0.03331
20,刘20,99,17,总体还不错??要的都是推荐菜??手撕饼有点腻,2021/5/8 16:12,0.58904
21,刘21,100,18,没有菜单??用微信点菜??还是先付款??什么都没吃着就把钱付了??忙活点餐付款就十几二十分钟??还真得不饿的时候来吃饭??要不就得饿死,2021/5/8 16:12,0.4328
22,刘22,101,19,上周末去的娜娜家，一直没来得及点评，今天趁着工作不忙赶紧来补一个??作为一个爱吃甜食的女生，真的是对这种有很多小甜点的西餐厅爱不释手，恨不得天天吃。刚好周末在公司加班，离大悦城很近，又刚好大悦城有娜娜家，毫不犹豫的拉着男朋友来拔草了。【位置】大悦城五楼骑鹅公社，对我这个路痴来说位置其实并不算好找，拉着男票足足转了有两圈，才在一个角落看到娜娜家门口的标志性小车。【环境】因为是周末去的，所以人不算少，要排队等位，不过屁股刚坐下没有两分钟就叫到我们了，安排的位置是一进门下楼梯直对的单人沙发坐，桌子有点矮，适合下午茶的时候点杯咖啡葛优躺跟闺蜜聊一下午的天，不过吃正餐就没那么舒服了，男票一度表示想换个位置，无奈人太多只能凑合坐。【服务】服务员的素质都还算不错，坐下后很及时的送来了iPad点餐，而且一直有服务员站在店里随时等候召唤～点好餐服务员也会贴心的问是不是按顺序上，有没有要等叫的，然后告诉你菜上齐大概需要多久。店里还提供移动电源，就是需要100元的押金，不过算是比较周到的服务了。接下来说到食物啦??????【娜娜的奶酪罐子】娜娜家的限量奶酪，一桌限点一个，上一次去娜娜家有点晚奶酪已经没有了，这次一定不会错过了，顶层是巧克力味的芝士饼干和树莓，中间是奶酪，口感跟味道都很不错，就是吃多了会有点腻，底层应该也是饼干底，奶酪一定要及时消灭掉，不然放热了会影响口感。【巧克力鲜奶油冰淇淋华夫】量很足，四块华夫，每块都很大，冰激凌会化得很快，所以如果想要慢悠悠吃饭的伙伴还是等叫吧，等嘴闲下来再叫冰激凌华夫上，这样才不会影响口感。【煎烤德国香肠】强推！！！口感味道都一级棒，配菜土豆泥也很好吃，蘸酱略偏酸，所以个人感觉不沾酱比较好吃。爱肉食的小伙伴可以尝试一下呦。【烟花妓女意大利面】完全是被名字吸引，男票说味道一般，可能是因为当时已经吃饱了。【芝士鸡肉蘑菇意大利面】无功无过吧，算是正常的意面，因为比较偏爱芝士奶油所以点的。饮品点的是鸳鸯奶茶，不是偏甜是偏苦的奶茶类型，咖啡味浓，爱港式奶茶的可以试试。娜娜家环境不错，菜品也很好，一般朋友小聚或者情侣约会都可以选择，有的分店有歌手驻唱，男孩子们可以晚上带女朋友去听歌吃甜点呀，相信大部分女孩子都会喜欢娜娜家的甜品的。,2021/5/8 16:12,0.43499
23,刘23,102,20,服务员跟**似的，摇摇手，没位置，话都不说一句。,2021/5/8 16:12,0.56452
24,刘24,103,21,自从这家出了就一直想去，终于赶个闺蜜也有时间的日子早早的去了。不到五点半到那就已经排到10几号了，差不多等了半个小时进去了。两个人但是排号的只发中桌，所以我们两个人占了一张大桌子很不好意思啊。点了三个菜两杯饮料，但是我俩好撑，各种吃不完了，味道好吃的真的没的说。点菜是用美味不用等，觉得很新颖。以后还会再去,2021/5/8 16:12,0.76561
25,刘25,60,22,东西什么的都挺好，味道也不错，就是人多点，环境很好,2021/5/8 16:12,0.48024
26,刘26,61,23,早就耳闻卤肉饭，可是不太喜欢吃，是甜口的，米饭太硬太硬了应该是隔夜的，肉也不是很烂！！烟花意面挺辣的，就是意大利酱，味道挺浓的，之前去都可以随便坐，这次个高的男服务员不让座，看到三口坐个六人座，上菜了又让人人家坐别的地方，小孩都哭了，感觉有点不合适了！！,2021/5/8 16:12,0.46759
27,刘27,62,24,由于在公司对面，因此和同事来过几次，菜的味道还可以，今天和家人路过这，带他们进来尝尝，桌子上方有风，孩子不习惯，然后我们就和里面的服务员说了一下，服务员让我们自己找张没有风吹的桌子，我们就自己找了张没有风同时也没人的桌子坐下，坐了半天了，可气的是那迎宾员（穿蓝色衣服的一女孩）后面带个客人进来非得坐这个位子，我们都坐半天要点菜了，她非得让我们坐会原来的位子，口气毫无商量，把矛盾推给我们两家顾客来解决，让我和对方谈，看来开业生意好服务就无所谓了，那迎宾安排排位的那个女的服务态度和服务意识够差的，不想在大庭广众之下和一个女的费口舌，最后我们就只好回到原来的位子勉强吃完这顿饭，记忆深刻，下次再也不来了，也联系周围的同事别来了，不想吃个饭还受气。,2021/5/8 16:12,0.40603
28,刘28,63,25,每次去都要排队，人不少，在恒隆可以和外婆家抗衡。价格方面还是可以接受的，餐厅环境也还可以，味道一般。,2021/5/8 16:12,0.26939
29,刘29,64,26,这次过生日又去的汉巴味德，这回真的让我太失望了，想要说一下，从刚开业6.6的时候就一直吃，怀孕也吃生完了又带孩子来，基本上这几年过生日都是来这吃的，过生日没有活动，这可以接受，重点是食物的品质，这回过生日又来了，场面非常乱，虽说人多吧，难道能比刚开业时还多吗，吃的供不上，都开始抢，真的挺无语的，还有那些现烤的的烤肉，真的太慢太慢了，而且这次味道也不好吃，人多点就这样了，刚开业时都没这样过，连饮料都供不上，真的太失望了，吃自助每次都想到这，可是现在真是差的不是一点，以后过生日不会再来了，太失望了。还要说一下，宝宝椅真是太脏了，都是我们自己擦的。,2021/5/8 16:12,0.00094
30,刘30,65,27,人好多，去的时候排号了不过等的时间不长，蛋挞挺好吃，外皮很酥，北极甜虾也不错，炸鸡腿我觉得刚出锅的时候最好吃，小蛋糕类的八点多的时候已经不多了，中式小吃比较全，鸡蛋羹、肉皮冻、蕨根粉都有，冰淇凌男票说是奶粉的味道，我觉得还行，总体来讲这个价位在自助餐里已经相当不错了,2021/5/8 16:12,0.1251
31,刘31,66,28,先森又带着我来解馋啦~烤玉米好吃得不得了~估计我自己吃了七八块~大爱的豆浆也是依旧好喝~奥尔良烤翅和梅子肉还是首选~棒棒哒~,2021/5/8 16:12,0.92668
32,刘32,67,29,没有团购！没有特价！不能刷卡！不能转账！服务差！刚来时人多服务员说话听不清就说我们叫号不回答！服务员收拾别桌的东西溅了我一身！再也不来了！,2021/5/8 16:12,0.28984
33,刘33,68,30,来过两次??两次的虫子??真的大家以后不要来了??这家的卫生水平太差,2021/5/8 16:12,0.33743
34,刘34,69,31,【位置】恒隆六楼，看见鼎泰丰后在一直往前走，排队人多的就是了。【环境】面积挺大的，可以容纳桌数在恒隆这些餐厅里绝对是前几名。很亮堂，就餐环境还不错，稍微有些吵。【菜品】因为是闺蜜男朋友第一次见我们几个人儿，所以一激动点多了。#妈妈熏排骨#不知道是不是这个菜名，肉挺多的，味儿也不错，比我第一次来这里时候吃的要好吃，推荐。#妈妈大拉皮#挺大一份的，味道不错，拉皮太有嚼劲儿了。但是不明白为什么用那么平的一个盘子装，酱料都流出来了，也不方便搅拌，这个有待改进。#奶香饼#味道不错，但稍微有点油#什么豆腐#味道一般，挺普通的#什么汤#本来我们没点的，服务员可能错看了，意外点上的，还挺鲜挺好喝的，那个绿色的菜他们说是小白菜。#酸菜鱼#我没怎么吃，我吃的那块刚好有一大块鱼皮，有点腥。#金牌烤蛏#我得最爱，每次必点，就是量有点少。#鱼香肉丝#忘了拍照了，应该是没动过筷子吧，最后全部打包了。太开心的一餐了，四个人点了八个菜……这个新加入的小哥哥真敞亮，已收买闺蜜团成员，对我们的小姐妹好点，点评为证！,2021/5/8 16:12,0.3714
35,刘35,70,32,孩子超喜欢这里，我都不知道为嘛！吃的东西跟巴西烤肉差不多，有一些蟹腿啊什么的，不过我觉得不新鲜，就烤肉还不错，不过，啤酒不免费，免费的饮料比较差，78一位的价格还真不如加点去星级酒店吃自助餐，总之以后不想去了。人山人海，排队的人这个多啊，进不去还打架，就这人的素质也够了，多加几十去吃点好的，也不能跟这帮哄抢的人一起吃饭，你说一个人弄两盘子虾，你是这辈子没吃过还是怎样呢。哎，让我想起了泰国那些个丢人丢到外国的。,2021/5/8 16:12,0.39255
36,刘36,71,33,还是可以的，稠的小吊梨汤挺好喝的，同桌的人说喝下去感觉咳嗽立马好多了??也许心理作用吧。梨球虾比较特色，豌豆黄也挺正宗的。烤鸭觉得平平。想点干酪鱼、杏仁豆腐都没有了。想来真的要趁早来排队，人挺多的，我们去的人还不算最多，也等了将近一小时。等饿了门口有煮鸡蛋夹各种酱发，按人头发，不能代领。还有炸虾片、柠檬水自取。,2021/5/8 16:12,0.55988
37,刘37,72,45,说实话，就是一次可以，吃多了就没劲了。不是很东北的菜，所以就像快餐！量越来越少！,2021/5/8 16:12,0.90276
38,刘38,73,46,去的比较晚，大概是下午一点半后了，服务员大部分正在收拾，上菜比较快，各种烤肉都快，就是自取的菜基本都没了,2021/5/8 16:12,0.65748
39,刘39,74,47,可能是他家一直很，几次被全面排号太多望而却步的缘故，今天有一种牢底坐穿的决心，终于吃到了！心中狂喜！按照大家评论一一点过来，味道还不错，但是没用惊艳的感觉，品种也真心单一，主食品种少的可怜！与其说是一家餐厅，倒不如说是一家????店更加贴切吧！,2021/5/8 16:12,0.55831
40,刘40,75,48,在二楼小阳台吃的，晚上点了小蜡烛，挺有情调的，味道还不错，不过稍微有点儿腻，形式大于内容,2021/5/8 16:12,0.65331
41,刘41,76,49,还是吃自助好啊，他们家的蜜汁梅肉真的很好吃，而且蛋塔和蛋糕都不错，性价比很高推荐,2021/5/8 16:12,0.7319
42,刘42,77,50,雪冰好棒阿??薯条好吃～焗饭和意面好吃～还有西瓜雪梨汁,2021/5/8 16:12,0.0916
43,刘43,78,51,怎么说呢，我就觉得东北菜特别不实诚。在北京有很多家分店，吃起来也都是一样。看起来很精致，实际上很粗糙。用一个例子来证明吧，土豆丝！这道菜很好基本功，盘子端上来，摆盘很凌乱，虽然盘子很精致，口感上无论是机器削的还是手切的，吃的就很面。居然杯子里还有头发??为啥还要排队呢！,2021/5/8 16:12,0.43848
44,刘44,79,52,菜都有点儿偏甜口，肚挺好吃的呢,2021/5/8 16:12,0.91943
45,刘45,80,53,一白遮百丑，一个难吃到家呢?我给一万个差评！太甜了，太难吃了,2021/5/8 16:12,0.20219
46,刘46,81,54,慕名而来，口味还不错只是上菜很慢，难怪总要排队,2021/5/8 16:13,0.73603
47,刘47,82,55,真的好难吃，排了100多号，进去了招牌菜一个没有，上来主食都是凉的，叫服务员拿餐具半天没拿来，真心差啊,2021/5/8 16:13,0.34908
48,刘48,83,56,等位一个多小时??点菜20分钟??上菜20分钟。呵呵……有空位也不让坐??非得坐高位吧台。至于口味，呵呵，我只能说不高于此类型餐厅。真心想说这么火都是炒起来的吧？！,2021/5/8 16:13,0.18646
49,刘49,84,57,一般～服务态度有点差～菜品味道凑合吧～,2021/5/8 16:13,0.15125
50,刘50,85,58,菜品是不错，生意也很好，但是说实在的，你们店里服务员的态度真心的差，你们领导都没有好好培训吗，吃饭也需要吃个心情不是吗,2021/5/8 16:13,0.78743
51,刘51,86,59,醒来已经过了午饭点！各种饭馆已经毕餐！打电话若干感兴趣的饭馆！无奈，直接去了恒隆！纠结了一下乾元和这里！想着来过这里比较好吃还是这里吧！然后先生说换换点吧！别总是那几个！换了以后就蒙了……??《婆家豆腐！》真是看出来婆家了！木有肉，有也就一点！味道太一般了！就两个虾仁！！！严重不推荐！《果酒》第二个图片！倒置的瓶子里面酒是酸的！不好喝！下面的水果有西瓜和芒果！都是小丁！西瓜不甜芒果还行！味道差强人意！39的价格也是令人汗颜了！《妈妈三杯鸡》并不入味！我觉得这道菜改名叫三杯姜蒜比较贴切！味道太甜了！而且刨除去里面的姜蒜几乎不剩多少！大家看第四个照片!第五个是摘除去剩下的样子！！《金牌小羊腿》不得不说这个是羊腿拆了弄成渣渣裹着糊炸的！口感一般！都是鸡蛋味！不推荐！《红烧肉》第一个点的！1.5h以后才上！！！！真的是肉需要买嘛？！味道太太太一般！《妈妈拉皮》没有照！配菜越来越少！酱料的咸酸愈加厚重！懒得拍照！量小了太多！！！这次颠覆了我对北李妈妈的好印象！！严重不推荐！！！！从菜到饮料！太差劲！就剩下环境和态度了！！上菜太慢，而且是非高峰期去的还那么多人！！！催了多少次也没用！下次也不会再去了！！！这个价格真心不值！,2021/5/8 16:15,0.96702
52,刘52,87,60,排队了好久??人气最旺??以为很好吃??实际真的好腻??也许是我们点的菜不对??以后不想再去的店??搞不懂为何那么火,2021/5/8 16:15,0.75737
53,刘53,88,61,吃了太多次北李，就奔着锅包肉来的，因为有家乡的味道，可现在越来越偷工减料，肉小了，块儿少了，味道一般了，超级失望??,2021/5/8 16:15,0.83224
54,刘54,89,62,菜品口味佳，环境很好，服务满意,2021/5/8 16:15,0.0778
55,刘55,90,63,最终爱的店，最爱的下午茶，最爱的娜娜和闺蜜约会继续，来大悦城必来的地方。大众点评点餐哦，有图，有购物车很方便??樱桃蛋糕是新出的，乳酪的，樱花??有点咸??抹茶蛋糕是千层的，依旧是最爱??巧克力的原以为很大，其实很小。太甜了，齁嗓子??最爱大杯的天空棉花糖饮料，每次两人都吃不完。记得一点要找服务员，打包带走哦！,2021/5/8 16:15,0.84352
56,刘56,91,64,作为东北菜来讲??味道还不错??中规中矩??价格略高??金牌烤蛏不错??推荐大拉皮,2021/5/8 16:15,0.61976
57,刘57,92,65,口味还行，就是贵，人很多，不经常去,2021/5/8 16:15,0.21838
58,刘58,93,66,饥饿营销的噱头。。味道比北京差远了，服务也很差,2021/5/8 16:15,0.1092
59,刘59,94,67,排了好久的队，味道可以，服务也不错,2021/5/8 16:15,0.77428
60,刘60,95,68,第三次来，不知道是大悦城店服务口味都差了还是各分店都如此…华夫完全是绵软的，上次是酥脆的好吧？品质要有把控吧？旁边桌服务员正在帮客人点菜，我闺蜜跟服务员说了一句，麻烦加水…你就回一句，稍等一下不就得了？好么，那丑姐姐回头怒了，说，我正在和这位客人说话，您等会儿行吗？会说人话吗？,2021/5/8 16:15,0.60757
61,刘61,96,69,服务很好，就是得等位，周二去人都满满的。,2021/5/8 16:15,0.63603
62,刘62,97,70,环境很差，基本没有装修过，地板都很脏，让人没有食欲。不知道为什么会有很高的评价，感觉像是雇人专门写的好评。服务员感觉也没受过培训，上了甜品也不上餐具，不给倒水等等。而且终于知道了为什么它家会排队等好多人，原来是因为上菜太慢，所以只有一波客人。等了一小时二十分钟也没有上齐餐。具体菜的口味也没有尝到太好吃的，而且还贵，不物美价廉。双倍奶酪鸡肉不太好吃。希望改进。下次挑餐厅的时候一定去看看差评，而不是好评。,2021/5/8 16:15,0.221
63,刘63,98,71,口味还行??人太多??排队不开心??价格偏贵,2021/5/8 16:15,0.73141
64,刘64,99,72,菜的味道一般??菜的油偏大??有点腻??价格小贵????不会再去第二次,2021/5/8 16:15,0.04552
65,刘65,100,73,食材竟然都是坏的！！！！！啊啊啊啊！我太后悔了！！！再也不来了！！！,2021/5/8 16:15,0.03559
66,刘66,101,74,抱着很大的希望去的，但是比较失望！菜品味道，简直不值一提，肯定不会再去第二次的地方。那个特色，基本上就是没有味道，尤其那个豆腐，什么啊做的，除了油，就是咸味，别的味道没有。就肉龙还比较好吃，其他真的太一般了，梨汤还可以，但较贵。,2021/5/8 16:15,0.84077
67,刘67,102,75,首先服务态度很好～看到带宝宝特别安排了一个好位置～其次菜量真是大的可以啊～点了熏排骨～我想说这个味道真的像陆记烧鸡??～好吗～建议买小份尝尝就可以～还有塑料手套o～蛏子口味可以～就是有点咸～总体还可以啦～适合年轻人口味～比较辣～,2021/5/8 16:15,0.30669
68,刘68,103,76,价位非常合适，虽然排队等了两个多小时，还是很值得的,2021/5/8 16:15,0.48274
69,刘69,104,77,挺好的，菜品比较全，种类多，添加也快,2021/5/8 16:15,0.49119
70,刘70,105,78,还不错，常光顾的店，最好吃的是排骨,2021/5/8 16:15,0.75362
71,刘71,106,79,***粉又来了，外地同学来津，一定要带她去吃娜娜家??????，果然还是应该早去，在娜娜家不用排号直接进好幸福有没有。把经典的吃过n多遍的东西又重温了一下，还是一如既往地好吃，还有个新品意面，原谅我又没记名字，味道有点像炸酱面，同学很喜欢。,2021/5/8 16:15,0.5741
72,刘72,107,80,来上菜的时候，有好几次都弄到我们身上,2021/5/8 16:15,0.42779
73,刘73,108,81,装修很特别味道就是天津老菜系换了个叫法！有创意！,2021/5/8 16:16,0.84126
74,刘74,109,82,味道不错，就是点太多，没吃了……,2021/5/8 16:16,0.71413
75,刘75,110,83,只能说很失望??同学先去占座??一行多人??却要求先现金付钱??无奈同学没有现金只能等人齐了才能排位??这样不灵通的留住客流量的方法实在有些蠢了??关键在手机支付如此方便的当下他们还不支持！我想就算味道再说如果你让客户的体验不佳那这也是我最后一次??,2021/5/8 16:16,0.14999
76,刘76,111,84,有点不卫生，吃完拉肚子了，可能也就我们那桌不卫生18号晚上吃的，19号早上就拉肚子了，细菌感染者腹泻，病了一周的时间，我们都瘦了，点的烤鸭（鸭汤）豌豆黄，还有那个虾，还有乳酪鱼，还有记不清楚了，夏天大家还是注意卫生吧，真心觉得味道一般，卫生差劲??，,2021/5/8 16:16,0.76807
77,刘77,112,85,在北京没拔的草在大悦城拔了。人太多了，火的不行，和蜜等位等了一个小时，说好了再吃不到就打火的回北京吃去！推荐黎球果仁虾！,2021/5/8 16:16,0.90895
78,刘78,113,86,口味偏甜，很容易腻，我自己是真心吃不惯。环境还可以，服务一般。,2021/5/8 16:16,0.45427
79,刘79,114,87,上菜超级慢，我催了好几次都没人理，最后我跟服务员说你这上菜也太慢了，结果服务员说上菜慢跟我没关系是后厨的事，我就无语了！服务态度非常不好！,2021/5/8 16:16,0.27313
80,刘80,115,88,第一次去吃是国庆期间，吃五十返五十！说实话确实有些菜不错！拿着返券第二次再去的时候！略有失望！妈妈熏排骨第二次点的大份，比第一次第一次点的小份几乎没有多多少！奶香手撕饼的分量也缩小！其余没有点重复的所以没法比较！服务嘛，一般般吧。不怎么积极！菜品味道还不错！推荐铁板茄夹，熏排骨，奶香手撕饼，疙瘩汤，婆婆豆腐好像,2021/5/8 16:16,0.55387
81,刘81,116,89,除了环境还可以，其它没什么可说的地方，总之和开业比起来差很多了，以后也不会再去了。,2021/5/8 16:16,0.10258
82,刘82,117,90,这个价位，性价比真的很高，之后又介绍家人去吃了,2021/5/8 16:16,0.13529
83,刘83,118,91,外层奶油不好，应该不是鲜奶油，内层还可以，主要蛋糕直接粘在盒子上，为啥没有油纸啥卫生点的呢??,2021/5/8 16:16,0.79214
84,刘84,119,92,影响最深的是烟花妓女意大利面～当时觉得名字很酷就点了～味道不错,2021/5/8 16:16,0.22788
85,刘85,120,93,环境很好??菜品也不错??剔牙鸡很好吃??水煮肉片也不错哦,2021/5/8 16:16,0.12371
86,刘86,121,94,听说这家店很火爆，晚上特意过来品品尝一下。没有想象的好吃，店内特色的小吊梨汤口感很浓，感觉放了淀粉一样，个人不太爱喝。烤鸭口味一般，没有什么特色。梨球果仁虾还是不错的，口味偏甜。人气爆满的原因可能是北京店的宣传吧。尝过之后有点失望。服务人员特别热情，态度很好，很满意！,2021/5/8 16:16,0.01141
87,刘87,122,95,很有意思的一家店。本来看点评以为是一家酒楼呢，跟老大来回找了好久才找到，找到时对着它的小门脸愣了半天。。。进去一楼已经坐满，上二楼居然也只有两个人的座位。坐下来看菜单，一看就笑了，老板的脑洞略大啊。其实都是家常菜，起的名字却叫人忍俊不禁。什么张三疯，小宝hold不住的。米饭不叫米饭叫干粮，可尔必思不叫可尔必思叫喝了就知道，套路啊都是套路哈哈哈。吃完觉得大部分菜的味道都不错，只是女神和女汉子确实两个原材料就跟名字一样的不搭，看看就好了。环境也是下了功夫的，有个性发挥。总体不错。,2021/5/8 16:16,0.73097
88,刘88,123,96,人很多，环境不错，就是有点小吵。东西非常全，也挺新鲜。总体比韩古风和汉斯好,2021/5/8 16:16,0.93179
89,刘89,124,97,点了推荐的熏排骨，味道一般，肉有点柴，有的地方还被熏苦了。锅包肉调味汁酸味有点刺鼻，整体也挺差的不推荐。奶香手撕饼味道还可以，热的时候很好吃，但是太油了。最不爽的是，我们还没有离桌服务员就上来收盘子，虽然高峰时段等位人多，但是店员也不能如此明目张胆赶人吧！反正再也不会来了……,2021/5/8 16:16,0.01368
90,刘90,125,98,服务差，菜口味一般，纸巾都收钱，环境还可以，真不知道为什么这么火,2021/5/8 16:16,0.04216
91,刘91,126,99,看完电影直奔北李妈妈，在大众上拿的号，真的很不错，没等多久就进去了。省去了现场拿的时间了。感觉金牌烤蛏盘子比原来小了呢？是因为平安夜盘子不够使了，还是早已经换小盘了。记得以前吃，很大一盘啊。味道依旧喜欢。京都馅饼，俩种馅料，一种一半。其实一种好像里面有韭菜。俩人一份都没吃完。一共12角呢！三杯素，有香菇，西兰花，芋头，胡萝卜，白萝卜，最近雾霾比较严重，特意点了清肺的。味道不错呢，就是油比较大。另外还点了个苦瓜，真苦。也是去火的。要了个汤，鸡蛋黑木耳汤。黑木耳也是清肺的好东西。一顿饭花了170多，吃的舒心。还有剩，打包了一盒。,2021/5/8 16:16,0.63979
92,刘92,127,100,菜品一如既往的好，排骨炖酸菜，我的最爱，服务也很好，上菜速度快。,2021/5/8 16:16,0.58881
93,刘93,128,101,周六中午去的，真的是很火爆啊～等了大概一个小时～等坐的时候有煮鸡蛋配上各种辅料，虽然看着一般，但是味道还是很惊喜的～梨球果仁虾～发甜口，一定要趁热吃呦～脆脆的很好吃～底下还有脆脆的梨～味道很不错～小煎猪肝，慢慢的一盘，味道真的超级棒，很嫩很入味～超级喜欢～记忆大懒龙，童年的肉龙，味道很正宗～驴打滚，很精致，分量刚刚好，味道很不错，不是特别甜，不会觉得腻～干酪鱼，奶酪味道很浓，微甜，又不会觉得腻，很喜欢～梨汤，很浓稠，甜度适中～总体来说，性价比很高的一家店，也比较新颖，很喜欢～,2021/5/8 16:16,0.25211
94,刘94,129,102,口味偏重、果汁实在是太甜了、兑水喝的、环境实在是太差了、嘈杂的不行、排队排了一个半小时、并没有享受到该有的环境、这饭吃的很一般不知道为什么这么多人来！,2021/5/8 16:16,0.31646
95,刘95,130,103,菜品真心不咋样。环境尚可，服务挺热情。,2021/5/8 16:16,0.84237
96,刘96,131,104,不错的小店????感觉很有特色????可能天津菜偏甜了????不过吃起来还是不错的,2021/5/8 16:16,0.38133
